00:00:00:00:00:00	Officially Xerox
00:02:30:00:00:00	Intersoft Electronics
00:02:31:00:00:00	Axis
00:02:32:00:00:00	Avision, Inc.
00:02:33:00:00:00	Mantra Communications, Inc.
00:02:34:00:00:00	Imperial Technology, Inc.
00:02:35:00:00:00	Paragon Networks International
00:02:36:00:00:00	INIT GmbH
00:02:37:00:00:00	Cosmo Research Corp.
00:02:38:00:00:00	Serome Technology, Inc.
00:02:39:00:00:00	Visicom
00:02:3A:00:00:00	ZSK Stickmaschinen GmbH
00:02:3B:00:00:00	Ericsson
00:02:3C:00:00:00	Creative Technology, Ltd.
00:02:3D:00:00:00	Cisco Systems, Inc
00:02:3E:00:00:00	Selta Telematica S.p.a
00:02:3F:00:00:00	COMPAL ELECTRONICS, INC.
00:02:40:00:00:00	Seedek Co., Ltd.
00:02:41:00:00:00	Amer.com
00:02:42:00:00:00	Videoframe Systems
00:02:43:00:00:00	Raysis Co., Ltd.
00:02:44:00:00:00	SURECOM Technology Co.
00:02:45:00:00:00	Lampus Co, Ltd.
00:02:46:00:00:00	All-Win Tech Co., Ltd.
00:02:47:00:00:00	Great Dragon Information Technology (Group) Co., Ltd.
00:02:48:00:00:00	Pilz GmbH & Co.
00:02:49:00:00:00	Aviv Infocom Co, Ltd.
00:02:4A:00:00:00	Cisco Systems, Inc
00:02:4B:00:00:00	Cisco Systems, Inc
00:02:4C:00:00:00	SiByte, Inc.
00:02:4D:00:00:00	Mannesman Dematic Colby Pty. Ltd.
00:02:4E:00:00:00	Datacard Group
00:02:4F:00:00:00	IPM Datacom S.R.L.
00:02:50:00:00:00	Geyser Networks, Inc.
00:02:51:00:00:00	Soma Networks, Inc.
00:02:52:00:00:00	Carrier Corporation
00:02:53:00:00:00	Televideo, Inc.
00:02:54:00:00:00	WorldGate
00:02:55:00:00:00	IBM Corp
00:02:56:00:00:00	Alpha Processor, Inc.
00:02:57:00:00:00	Microcom Corp.
00:02:58:00:00:00	Flying Packets Communications
00:02:59:00:00:00	Tsann Kuen China (Shanghai)Enterprise Co., Ltd. IT Group
00:02:5A:00:00:00	Catena Networks
00:02:5B:00:00:00	Cambridge Silicon Radio
00:02:5C:00:00:00	SCI Systems (Kunshan) Co., Ltd.
00:02:5D:00:00:00	Calix Networks
00:02:5E:00:00:00	High Technology Ltd
00:02:5F:00:00:00	Nortel Networks
00:02:60:00:00:00	Accordion Networks, Inc.
00:02:61:00:00:00	Tilgin AB
00:02:62:00:00:00	Soyo Group Soyo Com Tech Co., Ltd
00:02:63:00:00:00	UPS Manufacturing SRL
00:02:64:00:00:00	AudioRamp.com
00:02:65:00:00:00	Virditech Co. Ltd.
00:02:66:00:00:00	Thermalogic Corporation
00:02:67:00:00:00	NODE RUNNER, INC.
00:02:68:00:00:00	Harris Government Communications
00:02:69:00:00:00	Nadatel Co., Ltd
00:02:6A:00:00:00	Cocess Telecom Co., Ltd.
00:02:6B:00:00:00	BCM Computers Co., Ltd.
00:02:6C:00:00:00	Philips CFT
00:02:6D:00:00:00	Adept Telecom
00:02:6E:00:00:00	NeGeN Access, Inc.
00:02:6F:00:00:00	Senao International Co., Ltd.
00:02:70:00:00:00	Crewave Co., Ltd.
00:02:71:00:00:00	Zhone Technologies
00:02:72:00:00:00	CC&C Technologies, Inc.
00:02:73:00:00:00	Coriolis Networks
00:02:74:00:00:00	Tommy Technologies Corp.
00:02:75:00:00:00	SMART Technologies, Inc.
00:02:76:00:00:00	Primax Electronics Ltd.
00:02:77:00:00:00	Cash Systemes Industrie
00:02:78:00:00:00	SAMSUNG ELECTRO MECHANICS CO., LTD.
00:02:79:00:00:00	Control Applications, Ltd.
00:02:7A:00:00:00	IOI Technology Corporation
00:02:7B:00:00:00	Amplify Net, Inc.
00:02:7C:00:00:00	Trilithic, Inc.
00:02:7D:00:00:00	Cisco Systems, Inc
00:02:7E:00:00:00	Cisco Systems, Inc
00:02:7F:00:00:00	ask-technologies.com
00:02:80:00:00:00	Mu Net, Inc.
00:02:81:00:00:00	Madge Ltd.
00:02:82:00:00:00	ViaClix, Inc.
00:02:83:00:00:00	Spectrum Controls, Inc.
00:02:84:00:00:00	AREVA T&D
00:02:85:00:00:00	Riverstone Networks
00:02:86:00:00:00	Occam Networks
00:02:87:00:00:00	Adapcom
00:02:88:00:00:00	Global Village (PCcard in Mac portable)
00:02:89:00:00:00	DNE Technologies
00:02:8A:00:00:00	Ambit Microsystems Corporation
00:02:8B:00:00:00	VDSL Systems OY
00:02:8C:00:00:00	Micrel-Synergy Semiconductor
00:02:8D:00:00:00	Movita Technologies, Inc.
00:02:8E:00:00:00	Rapid 5 Networks, Inc.
00:02:8F:00:00:00	Globetek, Inc.
00:02:90:00:00:00	Woorigisool, Inc.
00:02:91:00:00:00	Open Network Co., Ltd.
00:02:92:00:00:00	Logic Innovations, Inc.
00:02:93:00:00:00	Solid Data Systems
00:02:94:00:00:00	Tokyo Sokushin Co., Ltd.
00:02:95:00:00:00	IP.Access Limited
00:02:96:00:00:00	Lectron Co,. Ltd.
00:02:97:00:00:00	C-COR.net
00:02:98:00:00:00	Broadframe Corporation
00:02:99:00:00:00	Apex, Inc.
00:02:9A:00:00:00	Storage Apps
00:02:9B:00:00:00	Kreatel Communications AB
00:02:9C:00:00:00	3com
00:02:9D:00:00:00	Merix Corp.
00:02:9E:00:00:00	Information Equipment Co., Ltd.
00:02:9F:00:00:00	L-3 Communication Aviation Recorders
00:02:A0:00:00:00	Flatstack Ltd.
00:02:A1:00:00:00	World Wide Packets
00:02:A2:00:00:00	Hilscher GmbH
00:02:A3:00:00:00	ABB Switzerland Ltd, Power Systems
00:02:A4:00:00:00	AddPac Technology Co., Ltd.
00:02:A5:00:00:00	Hewlett Packard
00:02:A6:00:00:00	Effinet Systems Co., Ltd.
00:02:A7:00:00:00	Vivace Networks
00:02:A8:00:00:00	Air Link Technology
00:02:A9:00:00:00	RACOM, s.r.o.
00:02:AA:00:00:00	PLcom Co., Ltd.
00:02:AB:00:00:00	CTC Union Technologies Co., Ltd.
00:02:AC:00:00:00	3PAR data
00:02:AD:00:00:00	HOYA Corporation
00:02:AE:00:00:00	Scannex Electronics Ltd.
00:02:AF:00:00:00	TeleCruz Technology, Inc.
00:02:B0:00:00:00	Hokubu Communication & Industrial Co., Ltd.
00:02:B1:00:00:00	Anritsu, Ltd.
00:02:B2:00:00:00	Cablevision
00:02:B3:00:00:00	Intel Corporation
00:02:B4:00:00:00	Daphne
00:02:B5:00:00:00	Avnet, Inc.
00:02:B6:00:00:00	Acrosser Technology Co., Ltd.
00:02:B7:00:00:00	Watanabe Electric Industry Co., Ltd.
00:02:B8:00:00:00	WHI KONSULT AB
00:02:B9:00:00:00	Cisco Systems, Inc
00:02:BA:00:00:00	Cisco Systems, Inc
00:02:BB:00:00:00	Continuous Computing Corp
00:02:BC:00:00:00	LVL 7 Systems, Inc.
00:02:BD:00:00:00	Bionet Co., Ltd.
00:02:BE:00:00:00	Totsu Engineering, Inc.
00:02:BF:00:00:00	dotRocket, Inc.
00:02:C0:00:00:00	Bencent Tzeng Industry Co., Ltd.
00:02:C1:00:00:00	Innovative Electronic Designs, Inc.
00:02:C2:00:00:00	Net Vision Telecom
00:02:C3:00:00:00	Arelnet Ltd.
00:02:C4:00:00:00	Vector International BVBA
00:02:C5:00:00:00	Evertz Microsystems Ltd.
00:02:C6:00:00:00	Data Track Technology PLC
00:02:C7:00:00:00	ALPS ELECTRIC CO.,LTD.
00:02:C8:00:00:00	Technocom Communications Technology (pte) Ltd
00:02:C9:00:00:00	Mellanox Technologies, Inc.
00:02:CA:00:00:00	EndPoints, Inc.
00:02:CB:00:00:00	TriState Ltd.
00:02:CC:00:00:00	M.C.C.I
00:02:CD:00:00:00	TeleDream, Inc.
00:02:CE:00:00:00	FoxJet, Inc.
00:02:CF:00:00:00	ZyGate Communications, Inc.
00:02:D0:00:00:00	Comdial Corporation
00:02:D1:00:00:00	Vivotek, Inc.
00:02:D2:00:00:00	Workstation AG
00:02:D3:00:00:00	NetBotz, Inc.
00:02:D4:00:00:00	PDA Peripherals, Inc.
00:02:D5:00:00:00	Acr
00:02:D6:00:00:00	NICE Systems
00:02:D7:00:00:00	EMPEG Ltd
00:02:D8:00:00:00	BRECIS Communications Corporation
00:02:D9:00:00:00	Reliable Controls
00:02:DA:00:00:00	ExiO Communications, Inc.
00:02:DB:00:00:00	Netsec
00:02:DC:00:00:00	Fujitsu General Limited
00:02:DD:00:00:00	Bromax Communications, Ltd.
00:02:DE:00:00:00	Astrodesign, Inc.
00:02:DF:00:00:00	Net Com Systems, Inc.
00:02:E0:00:00:00	ETAS GmbH
00:02:E1:00:00:00	Integrated Network Corporation
00:02:E2:00:00:00	NDC Infared Engineering
00:02:E3:00:00:00	LITE-ON Communications, Inc.
00:02:E4:00:00:00	JC HYUN Systems, Inc.
00:02:E5:00:00:00	Timeware Ltd.
00:02:E6:00:00:00	Gould Instrument Systems, Inc.
00:02:E7:00:00:00	CAB GmbH & Co KG
00:02:E8:00:00:00	E.D.&A.
00:02:E9:00:00:00	CS Systemes De Securite - C3S
00:02:EA:00:00:00	Focus Enhancements
00:02:EB:00:00:00	Pico Communications
00:02:EC:00:00:00	Maschoff Design Engineering
00:02:ED:00:00:00	DXO Telecom Co., Ltd.
00:02:EE:00:00:00	Nokia Danmark A/S
00:02:EF:00:00:00	CCC Network Systems Group Ltd.
00:02:F0:00:00:00	AME Optimedia Technology Co., Ltd.
00:02:F1:00:00:00	Pinetron Co., Ltd.
00:02:F2:00:00:00	eDevice, Inc.
00:02:F3:00:00:00	Media Serve Co., Ltd.
00:02:F4:00:00:00	PCTEL, Inc.
00:02:F5:00:00:00	VIVE Synergies, Inc.
00:02:F6:00:00:00	Equipe Communications
00:02:F7:00:00:00	Arm
00:02:F8:00:00:00	SEAKR Engineering, Inc.
00:02:F9:00:00:00	MIMOS Berhad
00:02:FA:00:00:00	DX Antenna Co., Ltd.
00:02:FB:00:00:00	Baumuller Aulugen-Systemtechnik GmbH
00:02:FC:00:00:00	Cisco Systems, Inc
00:02:FD:00:00:00	Cisco Systems, Inc
00:02:FE:00:00:00	Viditec, Inc.
00:02:FF:00:00:00	Handan BroadInfoCom
00:03:00:00:00:00	Barracuda Networks, Inc.
00:03:01:00:00:00	Exfo
00:03:02:00:00:00	Charles Industries, Ltd.
00:03:03:00:00:00	JAMA Electronics Co., Ltd.
00:03:04:00:00:00	Pacific Broadband Communications
00:03:05:00:00:00	MSC Vertriebs GmbH
00:03:06:00:00:00	Fusion In Tech Co., Ltd.
00:03:07:00:00:00	Secure Works, Inc.
00:03:08:00:00:00	AM Communications, Inc.
00:03:09:00:00:00	Texcel Technology PLC
00:03:0A:00:00:00	Argus Technologies
00:03:0B:00:00:00	Hunter Technology, Inc.
00:03:0C:00:00:00	Telesoft Technologies Ltd.
00:03:0D:00:00:00	Uniwill Computer Corp.
00:03:0E:00:00:00	Core Communications Co., Ltd.
00:03:0F:00:00:00	Digital China (Shanghai) Networks Ltd.
00:03:10:00:00:00	E-Globaledge Corporation
00:03:11:00:00:00	Micro Technology Co., Ltd.
00:03:12:00:00:00	TR-Systemtechnik GmbH
00:03:13:00:00:00	Access Media SPA
00:03:14:00:00:00	Teleware Network Systems
00:03:15:00:00:00	Cidco Incorporated
00:03:16:00:00:00	Nobell Communications, Inc.
00:03:17:00:00:00	Merlin Systems, Inc.
00:03:18:00:00:00	Cyras Systems, Inc.
00:03:19:00:00:00	Infineon AG
00:03:1A:00:00:00	Beijing Broad Telecom Ltd., China
00:03:1B:00:00:00	Cellvision Systems, Inc.
00:03:1C:00:00:00	Svenska Hardvarufabriken AB
00:03:1D:00:00:00	Taiwan Commate Computer, Inc.
00:03:1E:00:00:00	Optranet, Inc.
00:03:1F:00:00:00	Condev Ltd.
00:03:20:00:00:00	Xpeed, Inc.
00:03:21:00:00:00	Reco Research Co., Ltd.
00:03:22:00:00:00	IDIS Co., Ltd.
00:03:23:00:00:00	Cornet Technology, Inc.
00:03:24:00:00:00	SANYO Consumer Electronics Co., Ltd.
00:03:25:00:00:00	Arima Computer Corp.
00:03:26:00:00:00	Iwasaki Information Systems Co., Ltd.
00:03:27:00:00:00	ACT'L
00:03:28:00:00:00	Mace Group, Inc.
00:03:29:00:00:00	F3, Inc.
00:03:2A:00:00:00	UniData Communication Systems, Inc.
00:03:2B:00:00:00	GAI Datenfunksysteme GmbH
00:03:2C:00:00:00	ABB Switzerland Ltd
00:03:2D:00:00:00	IBASE Technology, Inc.
00:03:2E:00:00:00	Scope Information Management, Ltd.
00:03:2F:00:00:00	Global Sun Technology, Inc.
00:03:30:00:00:00	Imagenics, Co., Ltd.
00:03:31:00:00:00	Cisco Systems, Inc
00:03:32:00:00:00	Cisco Systems, Inc
00:03:33:00:00:00	Digitel Co., Ltd.
00:03:34:00:00:00	Newport Electronics
00:03:35:00:00:00	Mirae Technology
00:03:36:00:00:00	Zetes Technologies
00:03:37:00:00:00	Vaone, Inc.
00:03:38:00:00:00	Oak Technology
00:03:39:00:00:00	Eurologic Systems, Ltd.
00:03:3A:00:00:00	Silicon Wave, Inc.
00:03:3B:00:00:00	TAMI Tech Co., Ltd.
00:03:3C:00:00:00	Daiden Co., Ltd.
00:03:3D:00:00:00	ILSHin Lab
00:03:3E:00:00:00	Tateyama System Laboratory Co., Ltd.
00:03:3F:00:00:00	BigBand Networks, Ltd.
00:03:40:00:00:00	Floware Wireless Systems, Ltd.
00:03:41:00:00:00	Axon Digital Design
00:03:42:00:00:00	Nortel Networks
00:03:43:00:00:00	Martin Professional A/S
00:03:44:00:00:00	Tietech.Co., Ltd.
00:03:45:00:00:00	Routrek Networks Corporation
00:03:46:00:00:00	Hitachi Kokusai Electric, Inc.
00:03:47:00:00:00	Intel Corporation
00:03:48:00:00:00	Norscan Instruments, Ltd.
00:03:49:00:00:00	Vidicode Datacommunicatie B.V.
00:03:4A:00:00:00	RIAS Corporation
00:03:4B:00:00:00	Nortel Networks
00:03:4C:00:00:00	Shanghai DigiVision Technology Co., Ltd.
00:03:4D:00:00:00	Chiaro Networks, Ltd.
00:03:4E:00:00:00	Pos Data Company, Ltd.
00:03:4F:00:00:00	Sur-Gard Security
00:03:50:00:00:00	BTICINO SPA
00:03:51:00:00:00	Diebold, Inc.
00:03:52:00:00:00	Colubris Networks
00:03:53:00:00:00	Mitac, Inc.
00:03:54:00:00:00	Fiber Logic Communications
00:03:55:00:00:00	TeraBeam Internet Systems
00:03:56:00:00:00	Wincor Nixdorf International GmbH
00:03:57:00:00:00	Intervoice-Brite, Inc.
00:03:58:00:00:00	Hanyang Digitech Co.Ltd
00:03:59:00:00:00	DigitalSis
00:03:5A:00:00:00	Photron Limited
00:03:5B:00:00:00	BridgeWave Communications
00:03:5C:00:00:00	Saint Song Corp.
00:03:5D:00:00:00	Bosung Hi-Net Co., Ltd.
00:03:5E:00:00:00	Metropolitan Area Networks, Inc.
00:03:5F:00:00:00	Prüftechnik Condition Monitoring GmbH & Co. KG
00:03:60:00:00:00	PAC Interactive Technology, Inc.
00:03:61:00:00:00	Widcomm, Inc.
00:03:62:00:00:00	Vodtel Communications, Inc.
00:03:63:00:00:00	Miraesys Co., Ltd.
00:03:64:00:00:00	Scenix Semiconductor, Inc.
00:03:65:00:00:00	Kira Information & Communications, Ltd.
00:03:66:00:00:00	ASM Pacific Technology
00:03:67:00:00:00	Jasmine Networks, Inc.
00:03:68:00:00:00	Embedone Co., Ltd.
00:03:69:00:00:00	Nippon Antenna Co., Ltd.
00:03:6A:00:00:00	Mainnet, Ltd.
00:03:6B:00:00:00	Cisco Systems, Inc
00:03:6C:00:00:00	Cisco Systems, Inc
00:03:6D:00:00:00	Runtop, Inc.
00:03:6E:00:00:00	Nicon Systems (Pty) Limited
00:03:6F:00:00:00	Telsey SPA
00:03:70:00:00:00	NXTV, Inc.
00:03:71:00:00:00	Acomz Networks Corp.
00:03:72:00:00:00	Ulan
00:03:73:00:00:00	Aselsan A.S
00:03:74:00:00:00	Control Microsystems
00:03:75:00:00:00	NetMedia, Inc.
00:03:76:00:00:00	Graphtec Technology, Inc.
00:03:77:00:00:00	Gigabit Wireless
00:03:78:00:00:00	HUMAX Co., Ltd.
00:03:79:00:00:00	Proscend Communications, Inc.
00:03:7A:00:00:00	Taiyo Yuden Co., Ltd.
00:03:7B:00:00:00	IDEC IZUMI Corporation
00:03:7C:00:00:00	Coax Media
00:03:7D:00:00:00	Stellcom
00:03:7E:00:00:00	PORTech Communications, Inc.
00:03:7F:00:00:00	Atheros Communications, Inc.
00:03:80:00:00:00	SSH Communications Security Corp.
00:03:81:00:00:00	Ingenico International
00:03:82:00:00:00	A-One Co., Ltd.
00:03:83:00:00:00	Metera Networks, Inc.
00:03:84:00:00:00	Aeta
00:03:85:00:00:00	Actelis Networks, Inc.
00:03:86:00:00:00	Ho Net, Inc.
00:03:87:00:00:00	Blaze Network Products
00:03:88:00:00:00	Fastfame Technology Co., Ltd.
00:03:89:00:00:00	PLANTRONICS, INC.
00:03:8A:00:00:00	America Online, Inc.
00:03:8B:00:00:00	PLUS-ONE I&T, Inc.
00:03:8C:00:00:00	Total Impact
00:03:8D:00:00:00	PCS Revenue Control Systems, Inc.
00:03:8E:00:00:00	Atoga Systems, Inc.
00:03:8F:00:00:00	Weinschel Corporation
00:03:90:00:00:00	Digital Video Communications, Inc.
00:03:91:00:00:00	Advanced Digital Broadcast, Ltd.
00:03:92:00:00:00	Hyundai Teletek Co., Ltd.
00:03:93:00:00:00	Apple, Inc.
00:03:94:00:00:00	Connect One
00:03:95:00:00:00	California Amplifier
00:03:96:00:00:00	EZ Cast Co., Ltd.
00:03:97:00:00:00	Watchfront Limited
00:03:98:00:00:00	Wisi
00:03:99:00:00:00	Dongju Informations & Communications Co., Ltd.
00:03:9A:00:00:00	SiConnect
00:03:9B:00:00:00	NetChip Technology, Inc.
00:03:9C:00:00:00	OptiMight Communications, Inc.
00:03:9D:00:00:00	Qisda Corporation
00:03:9E:00:00:00	Tera System Co., Ltd.
00:03:9F:00:00:00	Cisco Systems, Inc
00:03:A0:00:00:00	Cisco Systems, Inc
00:03:A1:00:00:00	HIPER Information & Communication, Inc.
00:03:A2:00:00:00	Catapult Communications
00:03:A3:00:00:00	MAVIX, Ltd.
00:03:A4:00:00:00	Imation Corp.
00:03:A5:00:00:00	Medea Corporation
00:03:A6:00:00:00	Traxit Technology, Inc.
00:03:A7:00:00:00	Unixtar Technology, Inc.
00:03:A8:00:00:00	IDOT Computers, Inc.
00:03:A9:00:00:00	AXCENT Media AG
00:03:AA:00:00:00	Watlow
00:03:AB:00:00:00	Bridge Information Systems
00:03:AC:00:00:00	Fronius Schweissmaschinen
00:03:AD:00:00:00	Emerson Energy Systems AB
00:03:AE:00:00:00	Allied Advanced Manufacturing Pte, Ltd.
00:03:AF:00:00:00	Paragea Communications
00:03:B0:00:00:00	Xsense Technology Corp.
00:03:B1:00:00:00	Hospira Inc.
00:03:B2:00:00:00	Radware
00:03:B3:00:00:00	IA Link Systems Co., Ltd.
00:03:B4:00:00:00	Macrotek International Corp.
00:03:B5:00:00:00	Entra Technology Co.
00:03:B6:00:00:00	QSI Corporation
00:03:B7:00:00:00	ZACCESS Systems
00:03:B8:00:00:00	NetKit Solutions, LLC
00:03:B9:00:00:00	Hualong Telecom Co., Ltd.
00:03:BA:00:00:00	Oracle Corporation
00:03:BB:00:00:00	Signal Communications Limited
00:03:BC:00:00:00	COT GmbH
00:03:BD:00:00:00	OmniCluster Technologies, Inc.
00:03:BE:00:00:00	Netility
00:03:BF:00:00:00	Centerpoint Broadband Technologies, Inc.
00:03:C0:00:00:00	RFTNC Co., Ltd.
00:03:C1:00:00:00	Packet Dynamics Ltd
00:03:C2:00:00:00	Solphone K.K.
00:03:C3:00:00:00	Micronik Multimedia
00:03:C4:00:00:00	Tomra Systems ASA
00:03:C5:00:00:00	Mobotix AG
00:03:C6:00:00:00	Morning Star Technologies Inc
00:03:C7:00:00:00	hopf Elektronik GmbH
00:03:C8:00:00:00	CML Emergency Services
00:03:C9:00:00:00	TECOM Co., Ltd.
00:03:CA:00:00:00	MTS Systems Corp.
00:03:CB:00:00:00	Nippon Systems Development Co., Ltd.
00:03:CC:00:00:00	Momentum Computer, Inc.
00:03:CD:00:00:00	Clovertech, Inc.
00:03:CE:00:00:00	ETEN Technologies, Inc.
00:03:CF:00:00:00	Muxcom, Inc.
00:03:D0:00:00:00	KOANKEISO Co., Ltd.
00:03:D1:00:00:00	Takaya Corporation
00:03:D2:00:00:00	Crossbeam Systems, Inc.
00:03:D3:00:00:00	Internet Energy Systems, Inc.
00:03:D4:00:00:00	Alloptic, Inc.
00:03:D5:00:00:00	Advanced Communications Co., Ltd.
00:03:D6:00:00:00	RADVision, Ltd.
00:03:D7:00:00:00	NextNet Wireless, Inc.
00:03:D8:00:00:00	iMPath Networks, Inc.
00:03:D9:00:00:00	Secheron SA
00:03:DA:00:00:00	Takamisawa Cybernetics Co., Ltd.
00:03:DB:00:00:00	Apogee Electronics Corp.
00:03:DC:00:00:00	Lexar Media, Inc.
00:03:DD:00:00:00	Comark Interactive Solutions
00:03:DE:00:00:00	OTC Wireless
00:03:DF:00:00:00	Desana Systems
00:03:E0:00:00:00	ARRIS Group, Inc.
00:03:E1:00:00:00	Winmate Communication, Inc.
00:03:E2:00:00:00	Comspace Corporation
00:03:E3:00:00:00	Cisco Systems, Inc
00:03:E4:00:00:00	Cisco Systems, Inc
00:03:E5:00:00:00	Hermstedt SG
00:03:E6:00:00:00	Entone, Inc.
00:03:E7:00:00:00	Logostek Co. Ltd.
00:03:E8:00:00:00	Wavelength Digital Limited
00:03:E9:00:00:00	Akara Canada, Inc.
00:03:EA:00:00:00	Mega System Technologies, Inc.
00:03:EB:00:00:00	Atrica
00:03:EC:00:00:00	ICG Research, Inc.
00:03:ED:00:00:00	Shinkawa Electric Co., Ltd.
00:03:EE:00:00:00	MKNet Corporation
00:03:EF:00:00:00	Oneline AG
00:03:F0:00:00:00	Redfern Broadband Networks
00:03:F1:00:00:00	Cicada Semiconductor, Inc.
00:03:F2:00:00:00	Seneca Networks
00:03:F3:00:00:00	Dazzle Multimedia, Inc.
00:03:F4:00:00:00	NetBurner
00:03:F5:00:00:00	Chip2Chip
00:03:F6:00:00:00	Allegro Networks, Inc.
00:03:F7:00:00:00	Plast-Control GmbH
00:03:F8:00:00:00	SanCastle Technologies, Inc.
00:03:F9:00:00:00	Pleiades Communications, Inc.
00:03:FA:00:00:00	TiMetra Networks
00:03:FB:00:00:00	ENEGATE Co.,Ltd.
00:03:FC:00:00:00	Intertex Data AB
00:03:FD:00:00:00	Cisco Systems, Inc
00:03:FE:00:00:00	Cisco Systems, Inc
00:03:FF:00:00:00	Microsoft Corporation
00:04:00:00:00:00	Lexmark (Print Server)
00:04:01:00:00:00	Osaki Electric Co., Ltd.
00:04:02:00:00:00	Nexsan Technologies, Ltd.
00:04:03:00:00:00	Nexsi Corporation
00:04:04:00:00:00	Makino Milling Machine Co., Ltd.
00:04:05:00:00:00	ACN Technologies
00:04:06:00:00:00	Fa. Metabox AG
00:04:07:00:00:00	Topcon Positioning Systems, Inc.
00:04:08:00:00:00	Sanko Electronics Co., Ltd.
00:04:09:00:00:00	Cratos Networks
00:04:0A:00:00:00	Sage Systems
00:04:0B:00:00:00	3COM EUROPE LTD.
00:04:0C:00:00:00	Kanno Works, Ltd.
00:04:0D:00:00:00	Avaya Inc
00:04:0E:00:00:00	AVM GmbH
00:04:0F:00:00:00	Asus Network Technologies, Inc.
00:04:10:00:00:00	Spinnaker Networks, Inc.
00:04:11:00:00:00	Inkra Networks, Inc.
00:04:12:00:00:00	WaveSmith Networks, Inc.
00:04:13:00:00:00	SNOM Technology AG
00:04:14:00:00:00	Umezawa Musen Denki Co., Ltd.
00:04:15:00:00:00	Rasteme Systems Co., Ltd.
00:04:16:00:00:00	Parks S/A Comunicacoes Digitais
00:04:17:00:00:00	ELAU AG
00:04:18:00:00:00	Teltronic S.A.U.
00:04:19:00:00:00	Fibercycle Networks, Inc.
00:04:1A:00:00:00	Ines Test and Measurement GmbH & CoKG
00:04:1B:00:00:00	Bridgeworks Ltd.
00:04:1C:00:00:00	ipDialog, Inc.
00:04:1D:00:00:00	Corega of America
00:04:1E:00:00:00	Shikoku Instrumentation Co., Ltd.
00:04:1F:00:00:00	Sony Interactive Entertainment Inc.
00:04:20:00:00:00	Slim Devices, Inc.
00:04:21:00:00:00	Ocular Networks
00:04:22:00:00:00	Studio Technologies, Inc
00:04:23:00:00:00	Intel Corporation
00:04:24:00:00:00	TMC s.r.l.
00:04:25:00:00:00	Atmel Corporation
00:04:26:00:00:00	Autosys
00:04:27:00:00:00	Cisco Systems, Inc
00:04:28:00:00:00	Cisco Systems, Inc
00:04:29:00:00:00	Pixord Corporation
00:04:2A:00:00:00	Wireless Networks, Inc.
00:04:2B:00:00:00	IT Access Co., Ltd.
00:04:2C:00:00:00	Minet, Inc.
00:04:2D:00:00:00	Sarian Systems, Ltd.
00:04:2E:00:00:00	Netous Technologies, Ltd.
00:04:2F:00:00:00	International Communications Products, Inc.
00:04:30:00:00:00	Netgem
00:04:31:00:00:00	GlobalStreams, Inc.
00:04:32:00:00:00	Voyetra Turtle Beach, Inc.
00:04:33:00:00:00	Cyberboard A/S
00:04:34:00:00:00	Accelent Systems, Inc.
00:04:35:00:00:00	InfiNet LLC
00:04:36:00:00:00	ELANsat Technologies, Inc.
00:04:37:00:00:00	Powin Information Technology, Inc.
00:04:38:00:00:00	Nortel Networks
00:04:39:00:00:00	Rosco Entertainment Technology, Inc.
00:04:3A:00:00:00	Intelligent Telecommunications, Inc.
00:04:3B:00:00:00	Lava Computer Mfg., Inc.
00:04:3C:00:00:00	SONOS Co., Ltd.
00:04:3D:00:00:00	INDEL AG
00:04:3E:00:00:00	Telencomm
00:04:3F:00:00:00	ESTeem Wireless Modems, Inc
00:04:40:00:00:00	cyberPIXIE, Inc.
00:04:41:00:00:00	Half Dome Systems, Inc.
00:04:42:00:00:00	Nact
00:04:43:00:00:00	Agilent Technologies, Inc.
00:04:44:00:00:00	Western Multiplex Corporation
00:04:45:00:00:00	LMS Skalar Instruments GmbH
00:04:46:00:00:00	CYZENTECH Co., Ltd.
00:04:47:00:00:00	Acrowave Systems Co., Ltd.
00:04:48:00:00:00	Polaroid Corporation
00:04:49:00:00:00	Mapletree Networks
00:04:4A:00:00:00	iPolicy Networks, Inc.
00:04:4B:00:00:00	Nvidia
00:04:4C:00:00:00	Jenoptik
00:04:4D:00:00:00	Cisco Systems, Inc
00:04:4E:00:00:00	Cisco Systems, Inc
00:04:4F:00:00:00	Schubert System Elektronik Gmbh
00:04:50:00:00:00	DMD Computers SRL
00:04:51:00:00:00	Medrad, Inc.
00:04:52:00:00:00	RocketLogix, Inc.
00:04:53:00:00:00	YottaYotta, Inc.
00:04:54:00:00:00	Quadriga UK
00:04:55:00:00:00	ANTARA.net
00:04:56:00:00:00	Cambium Networks Limited
00:04:57:00:00:00	Universal Access Technology, Inc.
00:04:58:00:00:00	Fusion X Co., Ltd.
00:04:59:00:00:00	Veristar Corporation
00:04:5A:00:00:00	The Linksys Group, Inc.
00:04:5B:00:00:00	Techsan Electronics Co., Ltd.
00:04:5C:00:00:00	Mobiwave Pte Ltd
00:04:5D:00:00:00	BEKA Elektronik
00:04:5E:00:00:00	PolyTrax Information Technology AG
00:04:5F:00:00:00	Avalue Technology, Inc.
00:04:60:00:00:00	Knilink Technology, Inc.
00:04:61:00:00:00	EPOX Computer Co., Ltd.
00:04:62:00:00:00	DAKOS Data & Communication Co., Ltd.
00:04:63:00:00:00	Bosch Security Systems
00:04:64:00:00:00	Pulse-Link Inc
